date, Population, Annual Change
1950-12-31,1332000
1951-12-31,1377000,3.38
1952-12-31,1424000,3.41
1953-12-31,1473000,3.44
1954-12-31,1524000,3.46
1955-12-31,1574000,3.28
1956-12-31,1626000,3.3
1957-12-31,1680000,3.32
1958-12-31,1735000,3.27
1959-12-31,1792000,3.29
1960-12-31,1851000,3.29
1961-12-31,1912000,3.3
1962-12-31,1950000,1.99
1963-12-31,1988000,1.95
1964-12-31,2028000,2.01
1965-12-31,2068000,1.97
1966-12-31,2109000,1.98
1967-12-31,2200000,4.31
1968-12-31,2296000,4.36
1969-12-31,2395000,4.31
1970-12-31,2499000,4.34
1971-12-31,2607000,4.32
1972-12-31,2638000,1.19
1973-12-31,2669000,1.18
1974-12-31,2700000,1.16
1975-12-31,2732000,1.19
1976-12-31,2764000,1.17
1977-12-31,2783000,0.69
1978-12-31,2801000,0.65
1979-12-31,2820000,0.68
1980-12-31,2839000,0.67
1981-12-31,2858000,0.67
1982-12-31,2885000,0.94
1983-12-31,2913000,0.97
1984-12-31,2941000,0.96
1985-12-31,2969000,0.95
1986-12-31,2997000,0.94
1987-12-31,3036000,1.3
1988-12-31,3075000,1.28
1989-12-31,3114000,1.27
1990-12-31,3154000,1.28
1991-12-31,3195000,1.3
1992-12-31,3217000,0.69
1993-12-31,3238000,0.65
1994-12-31,3260000,0.68
1995-12-31,3283000,0.71
1996-12-31,3305000,0.67
1997-12-31,3319000,0.42
1998-12-31,3333000,0.42
1999-12-31,3347000,0.42
2000-12-31,3361000,0.42
2001-12-31,3375000,0.42
2002-12-31,3423000,1.42
2003-12-31,3472000,1.43
2004-12-31,3522000,1.44
2005-12-31,3573000,1.45
2006-12-31,3624000,1.43
2007-12-31,3699000,2.07
2008-12-31,3775000,2.05
2009-12-31,3853000,2.07
2010-12-31,3932000,2.05
2011-12-31,4013000,2.06
2012-12-31,4114000,2.52
2013-12-31,4217000,2.5
2014-12-31,4322000,2.49
2015-12-31,4430000,2.5
2016-12-31,4541000,2.51
2017-12-31,4654000,2.49
2018-12-31,4771000,2.51
2019-12-31,4870000,2.08
2020-12-31,4968000,2.01
2021-12-31,5061000,1.87
2022-12-31,5151000,1.78
2023-12-31,5235000,1.63
2024-12-31,5316000,1.55
2025-12-31,5392000,1.43
2026-12-31,5465000,1.35
2027-12-31,5535000,1.28
2028-12-31,5604000,1.25
2029-12-31,5671000,1.2
2030-12-31,5736000,1.15
2031-12-31,5801000,1.13
2032-12-31,5865000,1.1
2033-12-31,5929000,1.09
2034-12-31,5992000,1.06
2035-12-31,6056000,1.07