"Counting","INCP Total Personal Income (weekly)","MB by Commonwealth Electoral Divisions (UR)","Count"
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Scullin",11699
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Gorton",11236
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Calwell",9729
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Aston",11586
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","La Trobe",9021
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Bruce",13103
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Holt",12271
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Fraser",11951
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Lalor",11672
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","No usual address (Vic.)",361
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Total",404214
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Casey",11322
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Dunkley",11292
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Gellibrand",11347
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Nicholls",9833
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Indi",9846
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Corio",9755
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Corangamite",8012
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","McEwen",9128
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Monash",7388
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Bendigo",8920
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Wannon",9675
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Mallee",9621
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Hawke",10050
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Ballarat",8888
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Gippsland",8451
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Flinders",9168
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Wills",11010
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Melbourne",13414
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Cooper",10734
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Maribyrnong",10531
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Macnamara",12557
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Higgins",11226
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Kooyong",10381
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Menzies",10369
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Chisholm",11085
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Deakin",11735
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Goldstein",8960
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Hotham",12093
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Isaacs",10871
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Jagajaga",10733
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Scullin",11093
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Gorton",11120
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Calwell",8709
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Aston",11920
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","La Trobe",9076
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Bruce",12297
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Holt",11486
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Fraser",11280
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Lalor",11357
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","No usual address (Vic.)",333
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Total",407043
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Casey",7526
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Dunkley",7577
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Gellibrand",8062
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Nicholls",5784
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Indi",6320
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Corio",6372
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Corangamite",5616
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","McEwen",6716
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Monash",4522
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Bendigo",5884
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Wannon",5685
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Mallee",5450
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Hawke",6775
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Ballarat",5673
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Gippsland",5221
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Flinders",6108
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Wills",8027
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Melbourne",11123
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Cooper",7706
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Maribyrnong",8209
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Macnamara",10235
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Higgins",8972
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Kooyong",8082
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Menzies",7599
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Chisholm",7666
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Deakin",8316
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Goldstein",6993
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Hotham",7370
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Isaacs",7924
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Jagajaga",8248
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Scullin",6936
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Gorton",7254
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Calwell",5238
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Aston",8071
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","La Trobe",6090
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Bruce",7410
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Holt",6923
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Fraser",7063
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Lalor",7154
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","No usual address (Vic.)",185
"Persons Place of Usual Residence","$1,250-$1,499 ($65,000-$77,999)","Total",278095
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Casey",6021
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Dunkley",5844
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Gellibrand",7204
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Nicholls",4256
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Indi",4480
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Corio",5072
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Corangamite",4803
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","McEwen",5643
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Monash",3528
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Bendigo",4547
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Wannon",4239
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Mallee",3962
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Hawke",4841
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Ballarat",4460
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Gippsland",4023
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Flinders",4765
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Wills",6829
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Melbourne",9870
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Cooper",6565
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Maribyrnong",6986
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Macnamara",9625
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Higgins",8496
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Kooyong",7832
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Menzies",6722
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Chisholm",6641
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Deakin",7060
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Goldstein",6848
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Hotham",5781
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Isaacs",6872
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Jagajaga",7489
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Scullin",4839
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Gorton",5376
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Calwell",3561
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Aston",6493
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","La Trobe",4665
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Bruce",5225
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Holt",4629
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Fraser",5367
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Lalor",5221
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","No usual address (Vic.)",123
"Persons Place of Usual Residence","$1,500-$1,749 ($78,000-$90,999)","Total",226824
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Casey",3917
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Dunkley",3856
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Gellibrand",5193
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Nicholls",2629
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Indi",2893
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Corio",3492
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Corangamite",3089
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","McEwen",3690
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Monash",2332
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Bendigo",2827
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Wannon",2795
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Mallee",2330
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Hawke",3177
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Ballarat",2889
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Gippsland",2811
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Flinders",3385
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Wills",4659
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Melbourne",6869
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Cooper",4359
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Maribyrnong",4961
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Macnamara",7039
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Higgins",6153
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Kooyong",5645
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Menzies",4875
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Chisholm",4993
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Deakin",4976
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Goldstein",4971
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Hotham",3619
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Isaacs",4865
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Jagajaga",5373
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Scullin",2903
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Gorton",3394
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Calwell",2182
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Aston",4290
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","La Trobe",3032
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Bruce",3154
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Holt",2710
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Fraser",3505
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Lalor",3214
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","No usual address (Vic.)",88
"Persons Place of Usual Residence","$1,750-$1,999 ($91,000-$103,999)","Total",153096
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Casey",5033
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Dunkley",4782
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Gellibrand",8154
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Nicholls",2771
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Indi",3075
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Corio",4645
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Corangamite",3873
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","McEwen",5251
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Monash",2878
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Bendigo",3411
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Wannon",3084
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Mallee",2409
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Hawke",3839
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Ballarat",3415
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Gippsland",3772
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Flinders",4031
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Wills",6764
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Melbourne",11808
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Cooper",6574
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Maribyrnong",7877
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Macnamara",12875
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Higgins",11266
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Kooyong",10827
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Menzies",7766
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Chisholm",8255
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Deakin",7219
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Goldstein",9851
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Hotham",5040
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Isaacs",7052
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Jagajaga",8240
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Scullin",3233
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Gorton",4129
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Calwell",2408
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Aston",5646
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","La Trobe",3931
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Bruce",3846
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Holt",2799
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Fraser",4814
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Lalor",4016
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Migratory - Offshore - Shipping (Vic.)",7
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","No usual address (Vic.)",127
"Persons Place of Usual Residence","$2,000-$2,999 ($104,000-$155,999)","Total",220800
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Casey",2171
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Dunkley",2590
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Gellibrand",4346
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Nicholls",1477
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Indi",1490
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Corio",2541
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Corangamite",2097
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","McEwen",2694
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Monash",1615
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Bendigo",1650
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Wannon",1898
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Mallee",1433
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Hawke",1401
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Ballarat",1924
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Gippsland",2255
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Flinders",2687
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Wills",3055
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Melbourne",8814
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Cooper",3652
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Maribyrnong",5095
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Macnamara",12198
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Higgins",12637
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Kooyong",13712
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Menzies",5622
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Chisholm",4920
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Deakin",3374
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Goldstein",12057
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Hotham",2296
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Isaacs",3621
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Jagajaga",5186
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Scullin",1008
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Gorton",1503
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Calwell",936
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Aston",2311
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","La Trobe",1765
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Bruce",1530
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Holt",835
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Fraser",2124
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Lalor",1261
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Migratory - Offshore - Shipping (Vic.)",10
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","No usual address (Vic.)",76
"Persons Place of Usual Residence","$3,000 or more ($156,000 or more)","Total",143874
